StandortID,Periode,Probenahmedatum,Jahr,Probenart,Parameter,Wert
830,6,2024-11-12,2024,UNTER40-60,CUT_PPM,63.0909
830,6,2024-11-12,2024,OBER-0-20,Hg_AMA_PPM,0.846356
830,6,2024-11-12,2024,UNTER40-60,Hg_AMA_PPM,0.671658
830,6,2024-11-12,2024,OBER-0-20,HGT_PPM,0.8142
830,6,2024-11-12,2024,UNTER40-60,HGT_PPM,0.6554
830,6,2024-11-12,2024,OBER-0-20,NIT_PPM,41.7209
830,6,2024-11-12,2024,UNTER40-60,NIT_PPM,31.0509
830,6,2024-11-12,2024,OBER-0-20,ORG_SUB,10.0395
830,6,2024-11-12,2024,UNTER40-60,ORG_SUB,4.283175
830,6,2024-11-12,2024,OBER-0-20,PBT_PPM,147.3944
830,6,2024-11-12,2024,UNTER40-60,PBT_PPM,90.2384
830,6,2024-11-12,2024,OBER-0-20,PHCA,6.78
830,6,2024-11-12,2024,UNTER40-60,PHCA,6.86
830,6,2024-11-12,2024,OBER-0-20,ZNT_PPM,392.1846
830,6,2024-11-12,2024,UNTER40-60,ZNT_PPM,254.953
831,1,1999-12-16,1999,OBER-0-20,CDT_PPM,1.038
831,1,1999-12-16,1999,UNTER40-60,CDT_PPM,0.2458
831,1,1999-12-16,1999,OBER-0-20,CRT_PPM,41
831,1,1999-12-16,1999,UNTER40-60,CRT_PPM,37.27048
831,1,1999-12-16,1999,OBER-0-20,CUT_PPM,116.2
831,1,1999-12-16,1999,UNTER40-60,CUT_PPM,32.0635
831,1,1999-12-16,1999,OBER-0-20,Hg_AMA_PPM,1.2947
831,1,1999-12-16,1999,OBER-0-20,HGT_PPM,0.8315
831,1,1999-12-16,1999,UNTER40-60,HGT_PPM,0.14468
831,1,1999-12-16,1999,OBER-0-20,NIT_PPM,32.7
831,1,1999-12-16,1999,UNTER40-60,NIT_PPM,45.13293
831,1,1999-12-16,1999,OBER-0-20,ORG_SUB,11.085
831,1,1999-12-16,1999,UNTER40-60,ORG_SUB,2.12
