"StandortID";"periode";"Probenart";"HorizontNr";"para";"y";"y.orig";"mad.y";"mad.y.orig";"N.used";"p.dat";"m.LaborID";"m.a.jahr";"m.ProbenIDs"
829;2;"UNTER40-60";0;"NIT_PPM";40.684316;40.9;0;0;1;2004-11-18;"1028";"2009";"20494"
829;2;"OBER-0-20";0;"ORG_SUB";11.67273;11.67273;0;0;1;2004-11-18;"2538";"2015";"20491"
829;2;"OBER-0-20";0;"PBT_PPM";222.630295;228;17.3721935184;17.7912;3;2004-11-18;"1028";"2009";"20491-20492-20493"
829;2;"UNTER40-60";0;"PBT_PPM";77.725313;79.6;0;0;1;2004-11-18;"1028";"2009";"20494"
829;2;"OBER-0-20";0;"ZNT_PPM";495.568376;496.1;1.03670805000001;1.03782000000007;3;2004-11-18;"1028";"2009";"20491-20492-20493"
829;2;"UNTER40-60";0;"ZNT_PPM";155.333365;155.5;0;0;1;2004-11-18;"1028";"2009";"20494"
829;3;"OBER-0-20";0;"CDT_PPM";2.585913;2.57;0;0;3;2009-10-22;"1028";"2009";"24724-24725-24726"
829;3;"UNTER40-60";0;"CDT_PPM";0.436687;0.434;0;0;1;2009-10-22;"1028";"2009";"24727"
829;3;"OBER-0-20";0;"CRT_PPM";44.542982;45.1;0.146428989;0.148260000000002;3;2009-10-22;"1028";"2009";"24724-24725-24726"
829;3;"UNTER40-60";0;"CRT_PPM";34.073899;34.5;0;0;1;2009-10-22;"1028";"2009";"24727"
829;3;"OBER-0-20";0;"CUT_PPM";218.5966;216;39.0109910778;38.5476;3;2009-10-22;"1028";"2009";"24724-24725-24726"
829;3;"UNTER40-60";0;"CUT_PPM";132.57479;131;0;0;1;2009-10-22;"1028";"2009";"24727"
829;3;"OBER-0-20";0;"Hg_AMA_PPM";1.4881;1.4881;0;0;1;2009-10-22;"2538";"2015";"24724"
829;3;"OBER-0-20";0;"HGT_PPM";1.233243;1.22;0.0149861208;0.014826;3;2009-10-22;"1028";"2009";"24724-24725-24726"
829;3;"UNTER40-60";0;"HGT_PPM";0.181954;0.18;0;0;1;2009-10-22;"1028";"2009";"24727"
829;3;"OBER-0-20";0;"NIT_PPM";33.219306;33.3;0;0;3;2009-10-22;"1028";"2009";"24724-24725-24726"
829;3;"UNTER40-60";0;"NIT_PPM";42.596528;42.7;0;0;1;2009-10-22;"1028";"2009";"24727"
829;3;"OBER-0-20";0;"ORG_SUB";13.675821;13.53435;1.2546383892;1.2416597088;3;2009-10-22;"2538";"2010";"24724-24725-24726"
829;3;"UNTER40-60";0;"ORG_SUB";2.401722;2.376877;0;0;1;2009-10-22;"2538";"2010";"24727"
829;3;"OBER-0-20";0;"PBT_PPM";222.821658;217.5;0.303775844399994;0.296519999999983;3;2009-10-22;"1028";"2009";"24724-24725-24726"
829;3;"UNTER40-60";0;"PBT_PPM";38.110187;37.2;0;0;1;2009-10-22;"1028";"2009";"24727"
829;3;"OBER-0-20";0;"PHCA";6.697642;6.77;0.0148259999999997;0.0296520000000007;3;2009-10-22;"1028-2538";"2010";"24724-24725-24726"
829;3;"UNTER40-60";0;"PHCA";6.787642;6.87;0;0;1;2009-10-22;"1028";"2010";"24727"
829;3;"OBER-0-20";0;"ZNT_PPM";488.445039;483.8;2.54461899719999;2.52041999999998;3;2009-10-22;"1028";"2009";"24724-24725-24726"
829;3;"UNTER40-60";0;"ZNT_PPM";97.527471;96.6;0;0;1;2009-10-22;"1028";"2009";"24727"
829;4;"OBER-0-20";0;"CDT_PPM";2.491443;2.51;0.0146569835999998;0;3;2014-12-26;"1028";"2014-2015";"33876-33877-33878"
829;4;"OBER-0-20";0;"CUT_PPM";182.472895;184;2.94059032259998;2.9652;3;2014-12-26;"1028";"2014-2015";"33876-33877-33878"
829;4;"OBER-0-20";0;"Hg_AMA_PPM";1.2743;1.2743;0.0306898199999999;0.0306898199999999;3;2014-12-26;"2538";"2015";"33876-33877-33878"
829;4;"UNTER40-60";0;"Hg_AMA_PPM";0.3888;0.3888;0;0;1;2014-12-26;"2538";"2015";"33879"
829;4;"OBER-0-20";0;"HGT_PPM";1.16;1.16;0;0;1;2014-12-26;"1028";"2015";"33878"
829;4;"OBER-0-20";0;"NIT_PPM";33.4;33.4;1.4826;1.4826;2;2014-12-26;"1028";"2014";"33876-33877"
829;4;"OBER-0-20";0;"ORG_SUB";10.85097;11.04552;0.1313998728;0.1337572068;3;2014-12-26;"2538";"2015";"33876-33877-33878"
829;4;"UNTER40-60";0;"ORG_SUB";2.533664;2.54955;0;0;1;2014-12-26;"2538";"2015";"33879"
829;4;"OBER-0-20";0;"PBT_PPM";209;209;1.4826;1.4826;3;2014-12-26;"1028";"2014-2015";"33876-33877-33878"
829;4;"OBER-0-20";0;"PHCA";6.841084;6.79;0.0296401392000003;0.0296520000000007;3;2014-12-26;"2538";"2015";"33876-33877-33878"
829;4;"UNTER40-60";0;"PHCA";6.881084;6.81;0;0;1;2014-12-26;"2538";"2015";"33879"
829;4;"OBER-0-20";0;"ZNT_PPM";488.153568;475;10.6655901492;10.3782;3;2014-12-26;"1028";"2014-2015";"33876-33877-33878"
829;5;"OBER-0-20";0;"CDT_PPM";2.28;2.28;0;0;1;2019-11-13;"1028";"2020";"49698"
829;5;"UNTER40-60";0;"CDT_PPM";0.704;0.704;0;0;1;2019-11-13;"1028";"2020";"49700"
829;5;"OBER-0-20";0;"CUT_PPM";169;169;0;0;1;2019-11-13;"1028";"2020";"49698"
829;5;"UNTER40-60";0;"CUT_PPM";55.9;55.9;0;0;1;2019-11-13;"1028";"2020";"49700"
829;5;"OBER-0-20";0;"Hg_AMA_PPM";1.1504;1.1504;0;0;1;2019-11-13;"2538";"2020";"49698"
829;5;"UNTER40-60";0;"Hg_AMA_PPM";0.562;0.562;0;0;1;2019-11-13;"2538";"2020";"49700"
829;5;"OBER-0-20";0;"HGT_PPM";1.16;1.16;0;0;1;2019-11-13;"1028";"2020";"49698"
829;5;"OBER-0-20";0;"NIT_PPM";29.8;29.8;0;0;1;2019-11-13;"1028";"2020";"49698"
829;5;"UNTER40-60";0;"NIT_PPM";35.9;35.9;0;0;1;2019-11-13;"1028";"2020";"49700"
829;5;"OBER-0-20";0;"ORG_SUB";11.825392;11.825392;0;0;1;2019-11-13;"2538";"2020";"49698"
829;5;"UNTER40-60";0;"ORG_SUB";2.821065;2.821065;0;0;1;2019-11-13;"2538";"2020";"49700"
829;5;"OBER-0-20";0;"PBT_PPM";196;196;0;0;1;2019-11-13;"1028";"2020";"49698"
829;5;"UNTER40-60";0;"PBT_PPM";67;67;0;0;1;2019-11-13;"1028";"2020";"49700"
829;5;"OBER-0-20";0;"PHCA";6.79;6.79;0;0;1;2019-11-13;"2538";"2019";"49698"
829;5;"UNTER40-60";0;"PHCA";6.86;6.86;0;0;1;2019-11-13;"2538";"2019";"49700"
829;5;"OBER-0-20";0;"ZNT_PPM";442;442;0;0;1;2019-11-13;"1028";"2020";"49698"
829;5;"UNTER40-60";0;"ZNT_PPM";145;145;0;0;1;2019-11-13;"1028";"2020";"49700"
829;6;"OBER-0-20";0;"CDT_PPM";2.415;2.415;0;0;1;2024-11-12;"332";"2025";"53802"
829;6;"UNTER40-60";0;"CDT_PPM";0.6951;0.6951;0;0;1;2024-11-12;"332";"2025";"53804"
829;6;"OBER-0-20";0;"CRT_PPM";42.2811;42.2811;0;0;1;2024-11-12;"332";"2025";"53802"
829;6;"UNTER40-60";0;"CRT_PPM";32.9826;32.9826;0;0;1;2024-11-12;"332";"2025";"53804"
829;6;"OBER-0-20";0;"CUT_PPM";184.8524;184.8524;0;0;1;2024-11-12;"332";"2025";"53802"
829;6;"UNTER40-60";0;"CUT_PPM";52.5118;52.5118;0;0;1;2024-11-12;"332";"2025";"53804"
829;6;"OBER-0-20";0;"Hg_AMA_PPM";1.12128;1.12128;0;0;1;2024-11-12;"2538";"2025";"53802"
829;6;"UNTER40-60";0;"Hg_AMA_PPM";0.38673;0.38673;0;0;1;2024-11-12;"2538";"2025";"53804"
829;6;"OBER-0-20";0;"HGT_PPM";1.1663;1.1663;0;0;1;2024-11-12;"332";"2025";"53802"
829;6;"UNTER40-60";0;"HGT_PPM";0.3775;0.3775;0;0;1;2024-11-12;"332";"2025";"53804"
829;6;"OBER-0-20";0;"NIT_PPM";32.4905;32.4905;0;0;1;2024-11-12;"332";"2025";"53802"
829;6;"UNTER40-60";0;"NIT_PPM";41.1453;41.1453;0;0;1;2024-11-12;"332";"2025";"53804"
829;6;"OBER-0-20";0;"ORG_SUB";9.144225;9.144225;0;0;1;2024-11-12;"2538";"2025";"53802"
829;6;"UNTER40-60";0;"ORG_SUB";2.540925;2.540925;0;0;1;2024-11-12;"2538";"2025";"53804"
829;6;"OBER-0-20";0;"PBT_PPM";765.4357;765.4357;0;0;1;2024-11-12;"332";"2025";"53802"
829;6;"UNTER40-60";0;"PBT_PPM";63.6082;63.6082;0;0;1;2024-11-12;"332";"2025";"53804"
829;6;"OBER-0-20";0;"PHCA";6.76;6.76;0;0;1;2024-11-12;"2538";"2025";"53802"
829;6;"UNTER40-60";0;"PHCA";6.83;6.83;0;0;1;2024-11-12;"2538";"2025";"53804"
829;6;"OBER-0-20";0;"ZNT_PPM";462.3463;462.3463;0;0;1;2024-11-12;"332";"2025";"53802"
829;6;"UNTER40-60";0;"ZNT_PPM";136.0731;136.0731;0;0;1;2024-11-12;"332";"2025";"53804"
